Edad,Sexo,Valor,Data,Tipo
0 años,Hombres,165066,Absolutos,nacional
1 año,Hombres,184358,Absolutos,nacional
2 años,Hombres,192706,Absolutos,nacional
3 años,Hombres,207975,Absolutos,nacional
4 años,Hombres,219278,Absolutos,nacional
5 años,Hombres,225105,Absolutos,nacional
6 años,Hombres,229827,Absolutos,nacional
7 años,Hombres,226994,Absolutos,nacional
8 años,Hombres,241025,Absolutos,nacional
9 años,Hombres,247622,Absolutos,nacional
10 años,Hombres,253127,Absolutos,nacional
11 años,Hombres,258406,Absolutos,nacional
12 años,Hombres,269870,Absolutos,nacional
13 años,Hombres,259774,Absolutos,nacional
14 años,Hombres,258644,Absolutos,nacional
15 años,Hombres,252967,Absolutos,nacional
16 años,Hombres,252458,Absolutos,nacional
17 años,Hombres,248888,Absolutos,nacional
18 años,Hombres,244855,Absolutos,nacional
19 años,Hombres,246333,Absolutos,nacional
20 años,Hombres,250219,Absolutos,nacional
21 años,Hombres,244541,Absolutos,nacional
22 años,Hombres,240376,Absolutos,nacional
23 años,Hombres,244271,Absolutos,nacional
24 años,Hombres,242842,Absolutos,nacional
25 años,Hombres,246257,Absolutos,nacional
26 años,Hombres,251070,Absolutos,nacional
27 años,Hombres,260396,Absolutos,nacional
28 años,Hombres,267593,Absolutos,nacional
29 años,Hombres,267573,Absolutos,nacional
30 años,Hombres,270724,Absolutos,nacional
31 años,Hombres,274834,Absolutos,nacional
32 años,Hombres,279711,Absolutos,nacional
33 años,Hombres,283061,Absolutos,nacional
34 años,Hombres,288940,Absolutos,nacional
35 años,Hombres,298902,Absolutos,nacional
36 años,Hombres,310662,Absolutos,nacional
37 años,Hombres,321367,Absolutos,nacional
38 años,Hombres,340348,Absolutos,nacional
39 años,Hombres,356110,Absolutos,nacional
40 años,Hombres,374035,Absolutos,nacional
41 años,Hombres,384232,Absolutos,nacional
42 años,Hombres,402128,Absolutos,nacional
43 años,Hombres,408481,Absolutos,nacional
